gentime,NeAnc,td,lambda,sampn,data,Model,scheme,Neh,Nec,lnL,AIC_cons,Neh_change,Nec_change,T,lnL_change,AIC_change,delta
g3,n10e4,td100,l99,n50,wgs,Constant,all,9970.72668,9970.72668,-13183151.2,26366304.39,10010.58025,1902.517928,119.9327549,-13182242.52,26364491.05,1813.34
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9412.844199,9412.844199,-33207.61187,66417.22375,9400.452089,10374.19131,26.35708761,-33207.51999,66421.03997,-3.81622
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9659.874123,9659.874123,-34816.7089,69635.41781,9657.37524,9896.432224,26.76336392,-34816.70313,69639.40626,-3.98845
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9618.618339,9618.618339,-34049.90597,68101.81193,9599.465435,11745.23176,26.89453741,-34049.67305,68105.3461,-3.53417
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9846.684645,9846.684645,-34280.088,68562.17599,9785.147751,311445.7356,16.43960216,-34275.15343,68556.30686,5.86913
g3,n10e4,td190,l95,n100,rad10k,Constant,all,9929.466423,9929.466423,-34896.94835,69795.8967,9906.866156,10958.40995,10.02922546,-34896.63362,69799.26723,-3.37053
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9712.381672,9712.381672,-169527.4151,339056.8302,9677.690138,115297.1524,14.36278817,-169510.4639,339026.9278,29.9024
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9896.424157,9896.424157,-173724.9769,347451.9538,9878.209891,10549.7693,10.15700725,-173724.1294,347454.2589,-2.3051
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9658.907358,9658.907358,-169072.3319,338146.6639,9639.234159,86174.68793,12.67677455,-169053.0601,338112.1202,34.5437
g3,n10e4,td190,l95,n100,rad50k,Constant,all,9873.021618,9873.021618,-172791.5422,345585.0844,9947.038039,3161.879539,119.713776,-172779.8002,345565.6004,19.484
g3,n10e4,td190,l95,n100,rad50k,Constant,all,10106.23596,10106.23596,-175143.0988,350288.1976,10083.37191,11137.61932,10.01084735,-175141.5239,350289.0479,-0.8503
